name,InChl,InChl Key,smiles,Isomeric SMILES
cAMP,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",IVOMOUWHDPKRLL-KQYNXXCUSA-N,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
PSC833,"InChI=1S/C63H111N11O12/c1-26-27-28-41(16)53(76)52-57(80)67-49(38(10)11)61(84)68(19)33-48(75)69(20)44(29-34(2)3)56(79)66-50(39(12)13)62(85)70(21)45(30-35(4)5)55(78)64-42(17)54(77)65-43(18)58(81)71(22)46(31-36(6)7)59(82)72(23)47(32-37(8)9)60(83)73(24)51(40(14)15)63(86)74(52)25/h26-27,34-47,49-52H,28-33H2,1-25H3,(H,64,78)(H,65,77)(H,66,79)(H,67,80)/b27-26+/t41-,42+,43-,44+,45+,46+,47+,49+,50+,51+,52+/m1/s1",YJDYDFNKCBANTM-QCWCSKBGSA-N,CC=CCC(C)C(=O)C1C(=O)NC(C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C
5-FU,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",GHASVSINZRGABV-UHFFFAOYSA-N,C1=C(C(=O)NC(=O)N1)F,
5-dFUrd,"InChI=1S/C9H11FN2O5/c1-3-5(13)6(14)8(17-3)12-2-4(10)7(15)11-9(12)16/h2-3,5-6,8,13-14H,1H3,(H,11,15,16)/t3-,5-,6-,8-/m1/s1",ZWAOHEXOSAUJHY-ZIYNGMLESA-N,CC1C(C(C(O1)N2C=C(C(=O)NC2=O)F)O)O,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O
5-FdUrd,"InChI=1S/C9H11FN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1",ODKNJVUHOIMIIZ-RRKCRQDMSA-N,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O
CdA (2'-chloro-2'-deoxyadenosine),"InChI=1S/C10H12ClN5O3/c11-5-7(18)4(1-17)19-10(5)16-3-15-6-8(12)13-2-14-9(6)16/h2-5,7,10,17-18H,1H2,(H2,12,13,14)/t4-,5-,7-,10-/m1/s1",ADXUXRNLBYKGOA-QYYRPYCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)Cl)N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)Cl)N
6-TG,"InChI=1S/C5H5N5S/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",WYWHKKSPHMUBEB-UHFFFAOYSA-N,C1=NC2=C(N1)C(=S)N=C(N2)N,
6-MP,"InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",GLVAUDGFNGKCSF-UHFFFAOYSA-N,C1=NC2=C(N1)C(=S)N=CN2,
A-803467,"InChI=1S/C19H16ClNO4/c1-23-15-9-14(10-16(11-15)24-2)21-19(22)18-8-7-17(25-18)12-3-5-13(20)6-4-12/h3-11H,1-2H3,(H,21,22)",VHKBTPQDHDSBSP-UHFFFAOYSA-N,COC1=CC(=CC(=C1)NC(=O)C2=CC=C(O2)C3=CC=C(C=C3)Cl)OC,
Sipholenone E,"InChI=1S/C30H50O4/c1-19-9-11-21-25(26(2,3)17-18-29(21,7)32)20(19)10-12-22-28(6)15-13-23(31)27(4,5)34-24(28)14-16-30(22,8)33/h10,19,21-22,24-25,32-33H,9,11-18H2,1-8H3/b20-10+/t19-,21+,22+,24+,25-,28+,29+,30+/m1/s1",DPIZIYOJDMMKNP-GKMAIPHXSA-N,C[C@@H]1CC[C@H]2[C@@H](/C1=C/C[C@@H]1[C@@](C)(O)CC[C@@H]3OC(C)(C)C(=O)CC[C@]31C)C(C)(C)CC[C@]2(C)O,C[C@@H]1CC[C@H]2[C@@H](/C1=C/C[C@@H]1[C@@](C)(O)CC[C@@H]3OC(C)(C)C(=O)CC[C@]31C)C(C)(C)CC[C@]2(C)O
